,class_id,destination,duration,lines,origin,route,timestamps,transfers,transferstations,waiting_time
55891212-8dde-11e9-868d-7831c1d08f6a,3,Rokin,8,['metro52_1'],Station Zuid,"['Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin']","['08:00:00', '08:05:00', '08:05:00', '08:13:00']",0,[],5.0
558b6bd4-8dde-11e9-b54d-7831c1d08f6a,2,Waterlooplein,7,['metro53_0'],Spaklerweg,"['Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein']","['08:00:01', '08:15:00', '08:15:00', '08:22:00']",0,[],14.966666666666667
558b8466-8dde-11e9-84de-7831c1d08f6a,2,Van der Madeweg,5,['metro53_0'],Station Diemen-Zuid,"['Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg']","['08:00:02', '08:08:00', '08:08:00', '08:13:00']",0,[],7.95
558cda64-8dde-11e9-8513-7831c1d08f6a,1,Centraal Station,8,['metro52_1'],Europaplein,"['Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']","['08:00:03', '08:07:00', '08:07:00', '08:15:00']",0,[],6.933333333333334
558e2888-8dde-11e9-8fce-7831c1d08f6a,2,Rokin,20.0,"['metro50_1', 'metro52_1']",Bullewijk,"['Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin']","['08:00:04', '08:06:00', '08:06:00', '08:18:00', '08:18:00', '08:23:00', '08:23:00', '08:31:00']",1,['Station Zuid'],5.916666666666667
559070fa-8dde-11e9-8679-7831c1d08f6a,2,Verrijn Stuartweg,18.0,"['metro50_1', 'metro53_1']",Station Bijlmer ArenA,"['Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Venserpolder', 'Station Diemen-Zuid', 'Verrijn Stuartweg']","['08:00:05', '08:07:00', '08:07:00', '08:11:00', '08:11:00', '08:15:00', '08:15:00', '08:20:00']",1,['Van der Madeweg'],6.9
55915dbe-8dde-11e9-a09a-7831c1d08f6a,2,Centraal Station,10,['metro52_1'],Station Zuid,"['Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']","['08:00:06', '08:05:00', '08:05:00', '08:15:00']",0,[],4.883333333333334
55939f3e-8dde-11e9-a07e-7831c1d08f6a,2,Europaplein,10.0,"['metro50_0', 'metro52_1']",Station Lelylaan,"['Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Europaplein']","['08:00:07', '08:10:00', '08:10:00', '08:17:00', '08:17:00', '08:23:00', '08:23:00', '08:25:00']",1,['Station Zuid'],9.866666666666667
55949774-8dde-11e9-a97e-7831c1d08f6a,2,Rokin,2,['tram24_1'],Dam,"['Dam', 'Rokin']","['08:00:08', '08:06:00', '08:06:00', '08:08:00']",0,[],5.85
55979f8a-8dde-11e9-8a86-7831c1d08f6a,1,Station Sloterdijk,32.0,"['metro52_0', 'metro50_1']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat', 'Burg.de Vlugtlaan', 'Station Sloterdijk']","['08:00:10', '08:06:00', '08:06:00', '08:21:00', '08:21:00', '08:28:00', '08:28:00', '08:43:00']",1,['Station Zuid'],5.816666666666666
